Id,Id2,Geography,Retirement_Income
0500000US05021,5021,"Clay County, Arkansas",938
0500000US05023,5023,"Cleburne County, Arkansas",2476
0500000US05025,5025,"Cleveland County, Arkansas",628
0500000US05027,5027,"Columbia County, Arkansas",1650
0500000US05029,5029,"Conway County, Arkansas",1730
0500000US05031,5031,"Craighead County, Arkansas",6415
0500000US05033,5033,"Crawford County, Arkansas",4069
0500000US05035,5035,"Crittenden County, Arkansas",2783
0500000US05037,5037,"Cross County, Arkansas",889
0500000US05039,5039,"Dallas County, Arkansas",588
0500000US05041,5041,"Desha County, Arkansas",696
0500000US05043,5043,"Drew County, Arkansas",1179
0500000US05045,5045,"Faulkner County, Arkansas",6624
0500000US05047,5047,"Franklin County, Arkansas",1423
0500000US05049,5049,"Fulton County, Arkansas",1316
0500000US05051,5051,"Garland County, Arkansas",8522
0500000US05053,5053,"Grant County, Arkansas",1376
0500000US05055,5055,"Greene County, Arkansas",3186
0500000US05057,5057,"Hempstead County, Arkansas",1153
0500000US05059,5059,"Hot Spring County, Arkansas",2818
0500000US05061,5061,"Howard County, Arkansas",830
0500000US05063,5063,"Independence County, Arkansas",2596
0500000US05065,5065,"Izard County, Arkansas",1371
0500000US05067,5067,"Jackson County, Arkansas",1010
0500000US05069,5069,"Jefferson County, Arkansas",5061
0500000US05071,5071,"Johnson County, Arkansas",1730
0500000US05073,5073,"Lafayette County, Arkansas",531
0500000US05075,5075,"Lawrence County, Arkansas",1081
0500000US05077,5077,"Lee County, Arkansas",699
0500000US05079,5079,"Lincoln County, Arkansas",766
0500000US05081,5081,"Little River County, Arkansas",1053
0500000US05083,5083,"Logan County, Arkansas",2100
0500000US05085,5085,"Lonoke County, Arkansas",5499
0500000US05087,5087,"Madison County, Arkansas",972
0500000US05089,5089,"Marion County, Arkansas",1586
0500000US05091,5091,"Miller County, Arkansas",3188
0500000US05093,5093,"Mississippi County, Arkansas",2230
0500000US05095,5095,"Monroe County, Arkansas",659
0500000US05097,5097,"Montgomery County, Arkansas",742
0500000US05099,5099,"Nevada County, Arkansas",667
0500000US05101,5101,"Newton County, Arkansas",768
0500000US05103,5103,"Ouachita County, Arkansas",2060
0500000US05105,5105,"Perry County, Arkansas",917
0500000US05107,5107,"Phillips County, Arkansas",1802
0500000US05109,5109,"Pike County, Arkansas",712
0500000US05111,5111,"Poinsett County, Arkansas",1679
0500000US05113,5113,"Polk County, Arkansas",1620
0500000US05115,5115,"Pope County, Arkansas",3752
0500000US05117,5117,"Prairie County, Arkansas",693
0500000US05119,5119,"Pulaski County, Arkansas",25877
0500000US05121,5121,"Randolph County, Arkansas",1273
0500000US05123,5123,"St. Francis County, Arkansas",1607
0500000US05125,5125,"Saline County, Arkansas",9215
0500000US05127,5127,"Scott County, Arkansas",929
0500000US05129,5129,"Searcy County, Arkansas",730
0500000US05131,5131,"Sebastian County, Arkansas",8100
0500000US05133,5133,"Sevier County, Arkansas",961
0500000US05135,5135,"Sharp County, Arkansas",1604
0500000US05137,5137,"Stone County, Arkansas",1201
0500000US05139,5139,"Union County, Arkansas",3226
0500000US05141,5141,"Van Buren County, Arkansas",1686
0500000US05143,5143,"Washington County, Arkansas",9347
0500000US05145,5145,"White County, Arkansas",5427
0500000US05147,5147,"Woodruff County, Arkansas",492
0500000US05149,5149,"Yell County, Arkansas",1706
0500000US06001,6001,"Alameda County, California",86162
0500000US06003,6003,"Alpine County, California",98
0500000US06005,6005,"Amador County, California",4828
0500000US06007,6007,"Butte County, California",18887
0500000US06009,6009,"Calaveras County, California",5637
0500000US06011,6011,"Colusa County, California",1292
0500000US06013,6013,"Contra Costa County, California",73764
0500000US06015,6015,"Del Norte County, California",2119
0500000US06017,6017,"El Dorado County, California",17347
0500000US06019,6019,"Fresno County, California",45576
0500000US06021,6021,"Glenn County, California",1956
0500000US06023,6023,"Humboldt County, California",9909
0500000US06025,6025,"Imperial County, California",5858
0500000US06027,6027,"Inyo County, California",1769
0500000US06029,6029,"Kern County, California",36530
0500000US06031,6031,"Kings County, California",6485
0500000US06033,6033,"Lake County, California",5861
0500000US06035,6035,"Lassen County, California",2558
0500000US06037,6037,"Los Angeles County, California",391612
0500000US06039,6039,"Madera County, California",8346
0500000US06041,6041,"Marin County, California",18590
0500000US06043,6043,"Mariposa County, California",2198
0500000US06045,6045,"Mendocino County, California",6710
0500000US06047,6047,"Merced County, California",11421
